"What are ways to enhance memory, ","Pair principle or concept or number or thing with
(This is creating more connections to grab so the memory is easier to retrieve.  Like a baby's reflex to spread eagle when dropped.  Gives you more to hang onto.
Visualization or image
Location
Other parallel  concept (analogy)
Other senses (especially smells.  Smellsualization.  

Barbara oakley: funny or evocative
Abi: the magnitude of profoundness or perceived truth.  Bc it echoes and resonates with you 
Or
The magnitude of falseness.  Which is based in evolution and survival and learning from mistakes.

Absurdity (funny wrong)
False information(shame wrong shape of the puzzle peice is soooooo wrong it sticks in your mind the contrast.  Black and white is easier to see and understand)
Sexual ( shame and fear of social ostracization"
Abi: Why is handwriting more effective than typing or recording,"Ab8: The motion.  You are shaping each letter into a code.  And each motion is very different.   Pushing buttons all the letters are the same.  

You learned it first and younger.  It takes more time.

The visual element"
How do you avoid procrastination?,"Apply your will power only at the point of the que, where you feel resistance to the pain of the activity

Measure time in tomatoes

Process not product"
What does the hippocampus do?,Allows you to learn new things and over time to consolidate memory.  Shaped like a sea horse. Hippo means horse and Campos means sea monster 
What does the hippocampus do?,Allows you to learn new things and over time to consolidate memory.  Shaped like a sea horse. Hippo means horse and Campos means sea monster 
How do you remember,"Relational 
Store information then recall it.  The recall is just as essential as storage.  So store in an organized manner and tag with emotions."
What are my 4 memory spots for..... add this to a gearshift doc,"Assign spots with functions.  Then set up 3 levels of zoom.

Zoom in: the motion of the Zoom is processing, Zoom out to zoom in and then examine each single thing fully with only the idea idea of the whole.  Like a map In the side of your vision.

Now: noticeing and being
front burners: senses, awareness of the flow of events making up my current reality.
Back burners: 
Associations and memory recall:
tip of your tongue: an ahahha your about to have.  Links to the Zoom out where you see the full circle and relationship between 4 working memory spots this is the ahha.

Zoom out. See and analyze connections and relationships.  An ahha just before you zoom out further to see the full picture that whichever four at the now level was contained within one spot, but the other 3 spots are now in focus

Diagrams: 4 memory spots.  
3 levels of awareness
Verbs the zooms and realizations and processing"

Question,Answer
Dear Abi: We are by nature varibles,"And for whatever reason we keep saying we are constants.
But don't.  Just don't.  Let go of all shoulds and be at peace"

Question,Answer
Key: switching or shifting gears is based on 2.  From this to that and that to this.  It is the key to eturnity.  Because you build on either side of a mirror the reflection creates forever. Because this and that are fillable variables the possibilities are endless.,Rule: go on forever.  But if you are overwhelmed see it for what it is.  Only 2.  This side that side.  Back forth back 4th.  Four is nothing. It's never door number 4.
Key: 3 comes after 2.  By being aware that the verb of switching.  Or that there is always and in-between between two things. You see that there is a 3rd thing.  It is the act of switching.  ,Rule: if you are bored of this and that there is always a third thing.  Use this as hope.  Use n +1 as hope
"Key count to three.  The point of counting to three is not getting to three, its the blank after three.  The thing that happens once you count to three","Rule.  When you get to three, forget counting and lose yourself in the blank.  This is a toss up.  This is a relief, This is a pause.  This is nothing.  (Nothing for you to fill)"
The basis of all things.  Is only one thing.  Or nothing.  Either depending on where you start counting.  It is either zero or one.  Existence or non existence.  Awareness or non existence.  So 2 things. 0 1 2 n+1...It is the flicker between both that is the endless motivator or mechanism of everything else.  Which is your mind.  ,It is a question or a blank to be filled and then doubt that the answer was right and then despair and then switch and then ahha! Or realization.  Realize=to make real.
Key: step 0 and step one immediately become the first thing and they never became they always were.  The engine start. Piston still piston fire nothing...awareness.  I'm trying to diagram it.  But I know in measuring it I am changing it,Rule: stop changing it and just be it. Which creates analogy which is the only real way to understand and communicate it
Taking breaks is key to shifting gears. It’s being aware of pushing in the clutch,Key liahona rule.  Based on 2.
There are 2 things that are one thing.  Being a thing and defining a thing,"Apple sauce, can't measure(define, comprehend enough to put your finger on it. something without changing it.  This is the reality driven and defined by language.  This is how we comprehend. In relations.  You can  only ever define something or understand in the terms of some other thing.  This is how we think.  How we organize ourselves.  In relation to another.  It's all mapped out in our structures all the words you need are the words you describe your family with.  That's how we sort information.  In parent child sibling relationships.  But the key to this is you can never actually say exactly what a thing is.  That's a charades rule.  But also the nature of things."
Being the thing,"No words can fully describe.  But you want to.  What's that word? On the tip of your tongue.  Like we are all playing charades but in reality there is no way to cheat and no way to confirm the answer.  And so in all our venues of expression and modes of communication, we are just trying to say the thing.  The thing we are.  But you can't be and know.  That was the original question from the boxes project.  What cannot be and know.  And I knew if I could just sort through any thing I would land on the answer.  Which is really just understanding the question.  I just landed.  _______"

Question,Answer
How to learn better,Exercise
New neurons die because,"The suffocate with inactivity,  they must be recalled.  It's like you don't die until the last time a person remembers your name"
Stereopsis,Best time is first 2 years of life.  It's how you see 3 d eye posters. There's a slight shift between the way your brain interprets images from one eye and the other.  The brain interprets this as depth
What is the next book eye should read?,Sue barry fixing my gaze
What is knowledge collapse,"Information seems incomprehensible,  or like you didn't understand what you thought you did.  This is because your mind is restructuring the basis of your organization of the ideas.  It's identified that how you have it sorted is not going to lead to the overall understanding you need.  It's not back to the drawing board, it's re sorting"
What are metaphors amd analogy,The higher the understanding the more profound the metaphor which.means it works on multiple relevant levels
Metaphors and analogies that are irrelevant,Good for memorization but not understanding. Remember p=v/t
Greater under standing comes from,Your mind constructs the pattern of meaning rather than just being told. People learn by trying to make sense of the information they percieve
Greater under standing comes from,"Your mind constructs the pattern of meaning rather than just being told. People learn betraying to make sense of the information they percieve

Under standing. Is this like the foundation.  What is under your state of standing."
Smaller working memory means,More creativity 
Working memory is different than daydreaming,Which tells me working memory is about here and now.  In order to truly be submerged in a day dream you need to use your working memory there
Myelium,Fatty ends of neurons that conduct electricity 
Which side of your brain is the devils advocate?,Right brain.  Looks for inconsistencies 
Left side of the brain,Clings tenaciously  to the way things are.  Defends previous beliefs.
What's more effective at teaching you than studying,Test taking
Where to start,Start on the path of most resistance.  Then 2hen you feel yourself struggle jump to an easier problem.  Jump back and forth easy and hard.  Activates different parts of brain to work simultaneously.  Activates diffuse mode.  Creates space for thought processes
