Written records are frozen and meaning is lost,Of course for a prophet to be true he would need to translate using some unknown wisdom to understand and retell the meaning to make it live again.
Secret societies,Best way to get people to take legend seriously and to pass down verbal record.  With changing language but set meaning
Geodetic ,Science of size and position of shit on earth. pyramids are geodetic markers
Description of a mind/ a design for a machine to confirm we were at one point when we are now.,"Add to wheels on the bus, fingerprints of the gods.  One hour 57 minutes left"

Question,Answer
How does our brain identify sound?,"By matching the electrical patterns with familiar patterns from memory emotion and meaning are also attached to the sounds. So all learning is analogy based it is all based on things before it.  With the most basic basis being 0 and or one.  Self awareness.  The question of Real or unreal
"
If you don't want to be found....until later,Hide....but create a compelling mystery
How does a cochlea work?,Sound waves are translated into electrical nerve impulses via 17000 tiny hair shaped sensory organs called hair cells 
What is tinnitus add this to writing.,"No one knows for sure, probably multiple separate  things that end in similar symptoms.  I choose to believe it's the movement or the hairlike sensors moving because of sound waves.  It's called otoacoustic emissions.  It's a real sound, it can be recorded and even ppl without tinnitus can hear the sounds under the right circumstances.  So you are hearing the sound of hearing.  Which is fuckin badass.  It's l
You are hearing the wind blow over long grass in a field.  It's a real place. Aplace you could go if you were small enough."
1953 Heller and Bergman.  Placebo vs hearing hearing,Press the button when you hear a sound.  5 minutes of silence 93% of students pressed the button. And reported later hearing buzzing pulsing and whistling.  If you listen you will hear.  You will hear silence.  While you have a body.  Ability to hear means no silence.
Hyperacusis,Extreme sensitivity to external sound.  An overcompensation with unknown cause.  40% of people with tinitus also report varying degrees of hypercausis
"David ryugo, galvanized institute of Sydney, and abi Harrison, place, as seen in boxes before I read the tinitus book","Whe the brain experiences a reduction or change in auditory stimulation, it will find ways to fill the empty space."
Why shouldn't you avoid suffering Thomas merton,"Because the more you try to avoid suffering,  the more you suffer because smaller and more insignificant things begin to torture you in proportion to your fear"
Why is tinnitus linked with anxiety,"In fight or flight, our senses are heightened, hearing is sharper tinnitus seems lower.  It produces infinitely more stressful when it feels like it's not going away and your trapped"
Meditation is a great example of Process not product ,"Beginning again and again is the actual practice, not a problem  to overcome so that one day we can get to the 'real meditation.'"
How to use attention control with tinnitus meditation,"Stay focused on an object (tinnitus) while simultaneously maintaining an awareness of everything else around and in you. So occupying by switching back and forth rapidly.  It's a method of embracing distraction. 

Practice switching your focus from one point of awareness to another. Try to tune everything else out.
Focus on the shift"
Pavlov and brainwave p 67,"There is a specific, measurable, and somewhat predictable brainwave pattern directly associated with every action you could ever take with every single way you could possibly ever feel.  How you feel changes your brainwaves  and visa versa. You can change your mental state and how you feel by changing your brainwaves with external stimuli"
Frequency following response,"Mosquitoes, pendulum clocks, and metronome all sync up. And women"
7 hertz theta brainwaves,"Closely correlated  with feelings of stress relief, strong relaxation, and deep meditation "
Dorsal cochlear nucleus dcn ,Helps the brain locate where a specific sound is coming from. Could be where tinitus arises.  When you clench your jaw it manipulates those nerves
Why habituate,"It's a bit like being able to feel your socks.  You can feel them if you really focus but why would you bother? Once you fully habituate, the noise will still be there when you consciously look for it, but you won't be thinking about it all the time"
Tinnitus as a healthometer.,"If it backs off, you are doing the right things. If it pipes up, look at what you are experiencing, what you are exposing yourself to, and how you are driving yourself
  Liahona: tinnitus is an indicator light"
Fixing my gaze: blind people's visual cortex,"Lights up when ppl read braille.  After 5 days blind folded, it lights up in sighted ppl.  So ""visual cortex"" is maybe named for a common function and not the purpose.  Maybe its more of a more of a spatial cortex, regardless of the sense.  Research more on echo location."

Question,Answer
Jung divided into 2,"Thing one: school boy
Thing two: higher? Zarathustra morbid"
How did Jung make decisions,Interpreted dreams as signs. 
What is spiritualism,"Seeming scientific pursuit of understanding spiritual things.  This is what I'm doing.  It has fallen out of vogue, but I have to pursue phenomology.  It's scientific in that it depends on observation.  But spiritual in that it acknowledges the immense element of subjective interpretation"
What is new psychology,"Forgotten now.  It seems most things were new once.  Had a more scientific framework that we take for granted in our understanding of the premise of psychology.  Ology is just the study of.  There are infinite ways to learn and understand, science is just the current system.  Is viewed as a synonym for the pursuit of absolute truth, the understanding of nature as it is.  Of reality.  But really of shared reality specifically.  And really just one system of approach.  Dear Abi: it's innacurate language.   Your pursuit needs a system of gathering and verifying information.  Which is in my case in the frame of phenomology is just a description of the mechanisms of thought"
Study train analogy,"Jung, einstein, morality, adventure time"
Jung studied what aspect of the mind ,"Myth creation, dreams, an artistic interpretation of metaphor and voices from within. "
What is anime,The nature of the unconscious mind.  Maria multza convinced her psychiatrist that he was a misunderstood artist
Collective level interpretation,Jung finding themes applicable to external events and phenomenon 
Corrected draft,"Handwriting from someone else editing his edits after being typed
Medieval canographic, and had it bound.  Presented as a prophetic work.  "
 Jungs book structure: inserted paintings ,"Read straight through, then read the interleaved pages, its a prophetis work meant to be studied"
Who is philimon,"Philemon is an example of the archetype of The Wise Old Man or The Prophet, and as such is a figure from the unconscious. So, while The Wise Old Man is a common figure across all cultures, Philemon is an expression of Carl Jung's personal unconscious, addressing matters of concern for Jung in particular."
Someway to protect himself,Published books are doctored for the world.  Jung struggled.  My solution religion and funeral and living dreams after death
Dear abi,Read red again
Secrecy of red book,So that Jung could confirm that his patients actions were not influenced by suggestions (his secret understanding of dreams and mandalas and theories on revelation and collective conscious 
Dear abi,"Make a key of tags:
I
Dear abi
Draw it like a boundary.  Directions to me vs me vs 
Spiral
Pause
This is a key to illuminate the breadcrumbs I am leaving "
Jungs audience,Continuously shifting
Spirit of the time,Current events
Spirit of the depths,More universal timeless truths
How to look for a light,Go do a dark place
I have freedom in my thoughts ,Look carefully at the nature before you ask something to be different
I am in danger,Of believing I am 
I can't remember my thought,But I think it was that I am different than my God.  I am the same but I must separate myself
This or that.,I wait. Not knowing what I'm waiting for
Alternate to risk of changing something,Risk of doing nothing
Why is a small problem more costly than a large one,"Average issues breeds inactivity
Disaster breeds change
Because inaction is not viable in that situation.
Average issues don't seem worth the effort to change."
Jungs religion,Was Christianity and that initially was a source of all truth
The devil humanized before my eyes,Because he said dance is joy.
Uncertainty,Worrying about being late and missing a meeting feels worse than if you know you are going to miss the meeting
So long as your God suffers,"You have sympathy with him
You thus spare your hell 
And prolong his suffering"
Principles of the cross,"1. Let becoming have its day
2. Entering your own life is highly unpleasant.  Put up barriers to self awareness
3. No one speaks louder of his power and greatness than he from whom the earth disappears under his feet
4. "
The point of origin,Is a suspended stand still. A blind waiting.  One is convince one will burst
Give birth to ancient answers in a new time,The essence of forward movement is recurrence.  No part of the wheel will not come back around again.  
Set the present in the place of the future,So my intention survives.  Move with the delay
If  they cannot find the true one,At least they have a pope
Golden mean philosophy,"golden mean, in philosophy, an approach to ethics that emphasizes finding the appropriate medium, or middle ground, between extremes. The phrase golden mean is most frequently applied to the ethical ideas described by the ancient Greek philosopher Aristotle (384–322 bce) in his treatise Nicomachean Ethics."
Golden mean buddhism,"Pratitya samutpada, in upholding that all phenomenal things are not Beings but in the process of Becoming, leads Buddha to his theory of madhyama pratipat - the middle path or doctrine of the golden mean. The moment it comes into being, the existence of every object is absolute"
Golden mean math,"1+ sq root 5/2

Dear abi 5/2 birth day
=
N"
Golden mean math,"1+ sq root 5/2

Dear abi 5/2 birth day
=
N"
Golden ratio,"In mathematics, two quantities are in the golden ratio if their ratio is the same as the ratio of their sum to the larger of the two quantities.
A/b= a+b/a"

Question,Answer
"Recall that Professor Burger’s average rate of change over the entire bike ride was 20 miles per hour.  However, his average rate of change over this smaller interval is almost 30 miles per hour.  Shrinking the interval makes it possible to refine the approximation even further.",Why it was genius to create pareto. Microcosm. Egyptians were pro at creating miniatures for the purpose of symbolism 

Question,Answer
How do you write authoritatively,"People will think you know what your talking about when they know what your talking about.  They may assume you do or dont if they don't get it. When your goal is for both of you to understand, people will feel that confidence, good will, and faith in their ability and honesty.  Authoritative communication is respectful"
Good writing is a windowpane,"George Orwell  because it's perfectly clear and you can see exactly what is meant and it kills lots of birds with no stones.  
We want our writing to virtually disappear for our audience.  No effort to process what is said"
Waste no time,Get to point quickly.  Immediately 
Waste no time,Get to point quickly.  Immediately 
Complex writing undermines your goals, write complex contexts simply
Main focus,The basics.  Memorize that. Practice that
How do you edit without losing your voice?,Read it allowed.  Have Stephen Hawking read it out loud.
How do you edit to make sure your paper is well organized?,Make sure each sentence in a paragraph follows the topic sentence.  And each topic sentence fits with the thesis.  And that the thesis is really what you would like to say
How long should a paragraph be? ,Not overwhelming.  So like 2 inches max with easy to see text at a glance
Pronouns refer to ,The closet preceding noun

Question,Answer
Push,The usual attempt to change.  Push people makes people push back. Not effective 
Change as chemistry vs. Physics,Physics is pushing.  Mechanical.  Not effective to change human behaviour.  Chemistry has Catalysts.  Remove roadblocks and barriers.  Or incite intrinsic motivation.
What is the reduce framework,5 horsemen of inertia
What are the 5 horsemen of inertia ,"Reactance
Endowment 
Distance
Uncertainty
Corroborating evidence"
Cognitive dissonance,Actions and beliefs not in alignment 
Reducing reactance: Instead of telling someone what to do.  Or even giving options,Help people think through what they want and say it. 
Reducing reactance: Asking ppl to state their behavior  vs telling them,Same as building a concept vs being told.  It's an invitation to process and use your own judgement to assess and decide on a behaviour change
Endowment,"What you already have, you value more than what you don't. The longer you have the thing the more value you see in it"
How to diminish endowment,"Present new things as old ones
Surface the cost of inaction
Burn the ships"
What did Cortez do to create a scenario where his group was motivated ,"Burned the ships.  Made it so the only way out was to go on.  That is the only way, so sometimes shooting yourself in the foot and seeing what you have to do after is appropriate.  They never talk about what happens after you shoot yourself in the foot.  That life goes on for amputees and ashamed.  Don't die of shame, shoot yourself in the foot"
Burning a bridge,"Provides a troop no choice but to continue on.  This is a toss up. Shooting yourself in the foot or burning bridges or ships is all a toss up.  Don't wait, but do see."
Movable middle,People on the fence who can be swayed.  
How to improve chances of success when implementing  changes,Start with a smaller ask.  Go slower.  Stack up small successes
Distance,"Too far from your own backyard,  people tend to disregard.  This is connected to compassion fade. If it doesn't seem relevant or immediate to an individual there is less need to be engaged or make changes"
What is confirmation bias,"When presented with proof of an opposing view, people are more likely to dig I their heels and use their rejection of your evidence to reinforce their existing bias.  This is reactance but also perceived distance"
What is the movable middle,People with more moderate views are more likely to change. Good idea to target In the beginning of implementing change
Ask for less first,Once you get a.yes it's easier to increase the ask.  Be a very low maintenance camel to get I  them tents
What are stepping stones,Gradual points of easy asks to guide into a change of minds
What is switching fields,Show similarities or change simpler views on a different axis.  Then move to the main point
People want to be more like people like them. ,Be their people.  Help them identify you as a same.  A good way to unify people is to give them a common obstacle to overcome.
Unsticking point,Change conversatiin. Find common ground. Find a different axis to help people view others less as adversaries.
What is freemium,Free trials first month free.  Decreases uncertainty and perceived risk
Uncertainty ,Feels like pain 
Shrink up front costs,Freemium applied to physical goods
What is driving discovery,Let people discover or experience the product 
Stronger beliefs or beliefs regarding topics identified as more important to an individual,Require more time and evidence to form or change
Someone you have identified as the same as you,"Will hold more weight as far as recommendations or opinions and beliefs.  It's safer, and it gives us a sense of what someone like me should say or do.  We want to conform because we see them as selves"
More people presenting a similar belief or ,Seen as more valid if they are the same.  Or if they are seen as an adversary a greater threat.  Because reality is a majority rules thing.  Even if you are opposed to that main view over time its easier to question yourself
More recommendations are more powerful and the timing of those rec9mmendations are,More powerful at shorter intervals
Laughter is a social act. How does your perception of who else is laughing change your experience ,"If they are the same as you it persuades you to see the humor in it.  You percieve the joke as funnier.  If the group laughs is someone you don't want to be, the joke is shaded by that and distate increases instead of humor"
Old health incentives,Company had you do a physical and gave you bigger discounts

Question,Answer
How long should a vision statement be,"Short enough to memorize
15 words"
What are the three types of statements,"Mission: how to get to your vision
vision: your vision of what you want in the future for your company based on values and what you are working towards in your mission
value: this is the foundation that guides the above"
Vision,"What you would like to achieve should have outcomes

Inspirational and motivations"
Mission ,"How to accomplish  a vision statement 
Concrete objectives"
Values,Guides decisions
Mission statement,"What do we do
How do we do it
What do we do it for
What value are we bringing?"
Value statements,5 to 7 words that shows motivation behind vision
Why whole foods,"Workplace Culture impressed
Opportunity for growth
Being a part of a greater goal.  
Really good food. Experiencing food and Eating healthier: "
When I used data to provide a recommendation ,Looking at the most common sources of human error in error reporting sheets and placing guardrails around the process where those errors may occur 
A time when you led a team during a time of transformation and change,"Rt every group is a microcosm intended to build self awareness, boundaries and your place in a team.  
Change managementment at truly"
What two leadership principles do you resonate with,"Innovation what gives life meaning and purpose and joy

Servant who i want to be socially"
What would others say your top three leadership skills are,"Listening and compassion

Big picture goals and concrete action plans.

Strategic distraction"
That are 2 areas of opportunity or improvement for you,Data analysis and long term stam8na or endurance distress tolerance being in charge of intervals and starts and stops.  being ok with uncertainty 
3 leadership expectations ,"Open communication, honest and non judgemental feedback, clear expectations."
Key to scale an XXXX initiative at a company like whole foods with over 500 stores,"Documentation and Protocol
Compartmentalization and specialization 
COMMUNICATION "
Size of my team and their functions,"4 ppl team lead very much collaborative leadership style get it done
Analyst talking to other ppl
Specialist protect data"
Example of servant leadership,"Rt, change implementation"
Challenges you faced or problems you worked through,"Black list
Changing procedure
Emergency situations in rt and how does it relate
Process documentation being blind"
Customer feedback to drive improvement,Tailoring documentation to escrow needs
"Goal that took a long time to achieve or you are still working on and how you keep it a priority
Q 1","Wilfredo pareto
Follow your interest not your dreams
Process not product.¹qq
Power of misdirects "
Linked 2 or more problems together and identified an underlying issue,"Sorted out Banking issue zooming out to see the entire issue. Initial data entry was causing delays and mistakes during funding and we set a process in place to correct that and did recurring trainings so that the⁶♧◇♤ process was kept up


"
3 things you are trying to improve,"Focus ( mindfulness and shifting attention), homesteading skills updating parenting skills"
A time you wouldn't compromise to sacrifice quality when others felt like it was good enough,Softpro select 80s program with iron python multiple occasions where I was told I would fulfill a document request and figured out how to build the logic in parts
A time when you sacrificed short term gain for long term goal,Every diet ever.  Most arguments with my child.  This year of contract work
How do you drive adoption for your vision or idea   how do you know others have adopted it,Explain the goal and ask for their help implement it. Ask them to state their values and take input.
A time you needed a deeper level subject matter expertise to do my job well,"Every job. I'm curious and I hate uncertainty 
Mortgage legality
Learning to learn"
Tell about a time you Led a team during the delivery of a large scale cross functional technical project,"1099s daily training with escrow. talking to legal counsel to understand issues, coo to problem solve issues in process (wires were not supposed to be initiated before it was all squared away) and escrow managers about how to retroactively implement gathering the appropriate  documents"
Technical product initiative where where you defined the strategic vision owned the long term road map and drove teams to execute on that vision,"Dynamic documentation, white text with Ken.

System for interacting with requestor, legal, who I needed  approval on each project and I got their ticketing system up to date from 300 tickets and was able to leave them with that system the current business analyst still uses that system "
We promote team member growth and happiness ,I want to work in a safe place where I can grow and learn and I want to be a part of that for other people as well.  
We satisfy and delight our customers. ,"It feels good to be proud of what you are providing to the world.  Grocery shopping is something we all do, it's a chore but I like the effort to make it a positive experience.  I like that they have free fruit  to appease children.  "
Intro,"My background is in psychology I started out as a recreation therapist in psychiatric hospitals, in 2020 moved to a title company where I started in banking and then got into process documentation and was moved to a position creating dynamic mortgage documents using soft pro select based in Iron python.  I've spent the last year doing contract work.  And am currently a contingent worker on the dataops (Irma) team. I love it I've been very impressed with the culture of whole foods and how much they focus on investing in employees.  I'm very interested in data analytics, I'm working on the Google data analytics cert and I feel this position will give me access to real world application to relevant processes."
Outro,"I'm motivated to learn, I'm interested in the tasks outlined and feel invested in developing those skills. I give 100 percent and in 6 months my 100 percent is going to be a greater capacity than it is now.  Yall seem cool, I'd like to work with you."

Question,Answer
What is above kingdom,Domain
Who is susceptible to anasthetics,"Animals bacteria and plants

Plants create them to initiate pauses in their processes.  "
Behavior,A generic term. Any measurable response
Anasthesia To put to sleep,Remove consciousness.  But plants put themselves to sleep....so
Pineal gland,Awareness of light where the circadian rythym resides.  Descartes called it the seat of the soul
Plant blindness.,We give less attention processing plants than animals. They take up less of our focus and less visual processing capacity. They don't mirror us so how can we develop that interest and empathy?
Plant blind ness and time,"Plants are hard to relate to because compared to us, they are in extreme slow mo. They also have no nervous systems oreyes so that doesn't help."
"Dear abi, put googly eyes on plants.",To overcome plantblindness
I don't know it's name,So I call it magic
Plants are individuals,They do quick unpredictable behaviors as well as what seems like preprogrammed habits
Plants are individuals,They do quick unpredictable behaviors as well as what seems like preprogrammed habits
We recognize and interpret movement as like us,"Like we see faces in shapes.  We see intention in movement.  We extrapolate familiar to unfamiliar.  We mirror, and when we create we mirror, which is projection."
Radiical,Growing tip of a germinating root that encounters different aspects of the outside world from light and gravity to physical obstacles and makes choices about how to engage with them about how to find its way under ground..  this is where sentience can be deciphered
Stomata,Where a plant takes in carbon dioxide.  It opens a according to roots and leaf level.  Stores memory through a chemical
The inverted y experiment,Plants who were touched to simulate crowding invested their energy growing taller. Plants who weren't touched grew out.  They want space a part of the drive to survive I think must come frome an individuals need. 
Plants choose their shape,According to stimuli plants react and change their phenotyp
Plants communicate,With scents.  They percieve differently than our experience of smell.  But there are 1700 different letters and different combos communicate words
The smell of fresh cut grass is the ,Screams of a community to warn the next yard over.  And all the animals that live there.  So then who hears the vibrations of our screams and thinks that's just what they do when I [mow the grass]
"I want to see a [sentience] aware, not in general and not aware of my existence, but aware that I'm aware that they are aware of me","When I say moon sees me, what she's seeing is my awareness of her.  And any sentience's concept of self is _________ with awareness. Parallel/ synonymous/ inherent to/ the same as. mirror is how you amen"
Action potential,Firing electrical pulses for communication. Since multicellular organisms have existed ways to communicate between cells has existed. Not just nervous systems
Mona Lisa's smile teaches us,Our emotions affect our perspective which is reality
This would teach me something ,Create a mirror with a delay
Bb mice have film on their eyes.  But their retinas and visual systems are still firing even when blind.  When scientists block this once the mice can see they cannot process their surroundings.  The act of blindly imagining or conceptualizing surroundings prepares them to sort through images into structures they've already formed,3:39 51 %
Andy Clark and david chalmers expanded conciousness,"Includes external inanimate objects.that are used for external processing.  Calculators, pen and paper. Planning structures"
Brain doesn't like surprises,So it reduces incorrect predictions
Attention buffer for prediction,Mind has a side by side comparison of its model of reality and what is coming in through senses (reality as you are experiencing it.  The Brin is constantly updating either to fit the other and minimize unpleasantness. Dear abi: these are parallel tracks
Perceptual inferrence,When you change the model of reality in your mind to match external reality 
Active inference,"When you change the world to match your model....dear abi this is done in 2 ways. Sorting info into the buckets of your mind or interpreting it to fit what you already think, or actively changing what is a round you to fit the internal model.  There is a loop here that is scary to me regarding the nature of reality. You van never know.   Now go to sleep"
William maxe said,"Ask not what's inside your head, but what your head's inside of"
William maxe said,"Ask not what's inside your head, but what your head's inside of"
Empathy,Plays an important part of understanding other species.
We see anything as,"Is this me or not me?
Me: do I like this or want to expel it
Not me: What can this offer me?

Empathy with another person can be both"
Resonance model,Gibson: Shows relationship or describes coupling between the subject and its environment
We are shaped by,Interactions between self and other
Plants may be aware,We have no evidence otherwise
Single celled organisms learne,"When given Maltese in anticipation of the next dose, they create the enzyme they need to process maltose."
I nap therfore I am,Needing to take a step away from the rigors of life seems to be one of the core or defining factors of life
Zapp and zip,They zap a Massimiliano. A magnetic pulse and it causes a chain of neuronal patterns of activity called perturbation. and electrodes measure them and place them in a zip file.  The size of the zip file indicates the level of conciousness.made by Italians. Tanani and massimini. Sleeping patients had very low zip scores.  They tried it on ppl in vegetative states and the scores suggested they were concious but unable to indicate it.

Question,Answer
Profits,John Mackey decided being profitable is absolutely necessary  to achieve massive idealistic goals
Who is Adam smith,Creator of capitalism
Free enterprise capitalism,"Multiplies human ingenuity
Lifts people out of poverty."
Narratives,Infuse our life with meaning.  The stories we tell ourselves
The difference between caterpillars and evolved catepillars( he doesn't say butterflies),Intent
Humans evolution continued after we arrived at homo sapiens,But in a more intellectual and cultural way.  We have increased our conciousness. Flynn effect Overall human analytical intelligence has been rising at a rate of 4% every decade
1776,A coincidence free people and free markets
3 ways Victor frankl identified to find meaning and purpose in life,"1. Doing work that matters
2. Loving others unconditionally
3. Finding meaning in suffering"
Despair ,"=Suffering - meaning
So i think that 
Hope= suffering ➕️  meaning
Suffering is the constant
Hope and despair come with emotion but I don't think they are emotions I think they are perspectives directly related to or resulting in measures of motivation
I think the factors that make up these perspectives include percieved control or ability to choose.  Sense of efficacy and faith in something larger than self.  Dear abi paste this to habits and use aa and benefits of faith itself and experiments on willpower as evidence, use frankl quotes despair  stops or damns Hope allows you to go forward.  When I conceptualize this it's not just going forward on a path it's going forward just before a fork in the road.  There's something super important about the ability to choose that magnifies hope."
Logos,Meaning
To have joy in work you don't really care about,Align your values. Doing it p
Win to the 6th power,"I'm waiting for it
Customers
Suppliers
Team members
Community
John mackey
Environment"
Integrity comes from integer,Wholeness
Success,Is a variable
3 stories an effective leader tells,"Who I am
Who we are
Where we re going"
A Leaders effectiveness,Maybe should be judged by the success of their successors
Syq,Systems intelligence. Like understanding large Systems social and structural. Different than intellectual or emotional intelligence. Maybe like meta intelligence? Not well defined
Graves beck and cowan,Researchers. People develop upwards according to values based world views. 8 distinct stages or waves of values development
Graves beck and cowan,Researchers. People develop upwards according to values based world views. 8 distinct stages or waves of values development
Ken wilburn,Integral conciousness
Levinger,Another hierarchical model of conciousness development.
Barretcenter.com,7 levels of conciousness
